City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
121,Geraldton,AU,2022-07-14 20:14:46,-28.7667,114.6,55.81,76,27,5.75
122,Dikson,RU,2022-07-14 20:18:31,73.5069,80.5464,41.22,79,20,10.36
123,Strelka,RU,2022-07-14 20:18:31,58.0728,93.0344,49.15,83,99,2.19
124,Wanxian,CN,2022-07-14 20:18:32,30.8039,108.3897,81.37,79,79,2.55
125,Cape Town,ZA,2022-07-14 20:16:24,-33.9258,18.4232,56.91,90,16,4.61
126,Tasiilaq,GL,2022-07-14 20:15:57,65.6145,-37.6368,50.16,70,100,5.79
127,Ilulissat,GL,2022-07-14 20:18:32,69.2167,-51.1,55.42,44,20,5.75
128,Mairi,BR,2022-07-14 20:15:04,-11.7114,-40.1489,72.79,67,88,7.14
129,Nova Olimpia,BR,2022-07-14 20:13:44,-14.7972,-57.2881,94.35,20,60,8.01
130,Atuona,PF,2022-07-14 20:15:18,-9.8,-139.0333,77.88,69,6,16.22
131,Rochester,US,2022-07-14 20:17:01,43.1548,-77.6156,80.11,51,20,9.22
132,Bethel,US,2022-07-14 20:13:51,41.3712,-73.414,85.01,60,81,7.74
133,Rio Gallegos,AR,2022-07-14 20:18:33,-51.6226,-69.2181,32.05,93,40,6.91
134,Bichura,RU,2022-07-14 20:18:33,50.5881,107.6022,56.55,97,100,3.2
135,Ribeira Grande,PT,2022-07-14 20:18:34,38.5167,-28.7,73.8,78,40,14.97
136,Hall,US,2022-07-14 20:18:34,34.3168,-83.7832,88.74,50,0,5.75
137,Ivankiv,UA,2022-07-14 20:18:34,50.9386,29.8943,62.13,76,0,6.98
138,Tenenkou,ML,2022-07-14 20:18:34,14.4572,-4.9169,90.05,38,90,10.47
139,Cayenne,GF,2022-07-14 20:18:35,4.9333,-52.3333,82.09,1,20,0.0
140,Askino,RU,2022-07-14 20:18:35,56.0901,56.5783,65.79,91,100,7.99
141,Pistsovo,RU,2022-07-14 20:18:35,57.179,40.5298,56.5,96,100,4.54
142,Torbay,CA,2022-07-14 20:13:46,47.6666,-52.7314,65.88,77,64,5.99
143,Mar Del Plata,AR,2022-07-14 20:18:36,-38.0023,-57.5575,54.09,95,100,11.99
144,Phan Thiet,VN,2022-07-14 20:18:36,10.9333,108.1,77.34,88,93,8.5
145,Waipawa,NZ,2022-07-14 20:18:36,-41.4122,175.5153,44.87,73,100,9.08
146,Moron,AR,2022-07-14 20:18:37,-34.6534,-58.6198,57.09,78,100,5.97
147,Sechura,PE,2022-07-14 20:18:37,-5.5569,-80.8222,74.37,53,7,17.02
148,Prince Rupert,CA,2022-07-14 20:17:03,54.3161,-130.3201,59.09,79,100,19.57
149,Griffith,US,2022-07-14 20:18:37,41.5284,-87.4237,84.31,66,40,12.66
150,Chokurdakh,RU,2022-07-14 20:18:38,70.6333,147.9167,52.65,57,81,5.66
151,Ciudad Guayana,VE,2022-07-14 20:18:38,8.3533,-62.6528,90.52,56,58,7.45
152,Port Elizabeth,ZA,2022-07-14 20:18:38,-33.918,25.5701,57.49,80,0,13.8
153,Ouegoa,NC,2022-07-14 20:18:38,-20.35,164.4333,66.51,65,2,10.09
154,Casino,AU,2022-07-14 20:18:39,-28.8667,153.05,46.56,92,2,3.33
155,Tigil,RU,2022-07-14 20:18:39,57.8,158.6667,62.82,69,13,5.26
156,Tuktoyaktuk,CA,2022-07-14 20:18:39,69.4541,-133.0374,39.2,87,100,20.71
157,Husavik,IS,2022-07-14 20:18:40,66.0449,-17.3389,49.19,78,29,4.74
158,Mumford,GH,2022-07-14 20:18:40,5.2618,-0.759,74.82,90,18,10.42
159,Portland,US,2022-07-14 20:18:40,45.5234,-122.6762,81.7,50,0,8.01
160,Vostok,RU,2022-07-14 20:18:41,46.4856,135.8833,59.4,91,100,5.55
161,Oriximina,BR,2022-07-14 20:17:02,-1.7656,-55.8661,87.57,57,86,4.83
162,Ambovombe,MG,2022-07-14 20:18:41,-25.1667,46.0833,65.55,85,0,3.33
163,Emba,KZ,2022-07-14 20:18:41,48.8264,58.1442,85.03,24,0,7.92
164,Vilhena,BR,2022-07-14 20:18:42,-12.7406,-60.1458,88.02,35,20,12.66
165,Mossendjo,CG,2022-07-14 20:18:42,-2.9506,12.7261,71.51,66,22,2.59
